Bandit,Reward,Algorithm
0,1.6125152896609496,ThompsonSampling
3,4.508692381926952,ThompsonSampling
3,4.040194635355437,ThompsonSampling
3,6.126780702221096,ThompsonSampling
2,2.713644051459247,ThompsonSampling
3,3.9032923825108012,ThompsonSampling
3,2.672351648287308,ThompsonSampling
3,4.43952689844747,ThompsonSampling
3,4.203544721597129,ThompsonSampling
3,4.922312585727115,ThompsonSampling
3,3.6448596423968866,ThompsonSampling
2,3.079151250424836,ThompsonSampling
3,6.564905073448142,ThompsonSampling
3,5.117853069312034,ThompsonSampling
3,5.049774672175383,ThompsonSampling
0,1.7936478266457956,ThompsonSampling
2,3.66065221420504,ThompsonSampling
3,3.6307583228022837,ThompsonSampling
3,5.047588241262578,ThompsonSampling
3,5.256538787358398,ThompsonSampling
3,3.8784004066887645,ThompsonSampling
3,2.2942548963145954,ThompsonSampling
3,4.712191566157978,ThompsonSampling
3,4.680291280899839,ThompsonSampling
3,4.172238843968386,ThompsonSampling
3,3.999092899829968,ThompsonSampling
1,1.5851361696411086,ThompsonSampling
3,3.4907123938246967,ThompsonSampling
0,2.2539743027931696,ThompsonSampling
3,2.157996922968941,ThompsonSampling
3,4.143859319740761,ThompsonSampling
3,3.066505399200539,ThompsonSampling
3,3.0299635213924647,ThompsonSampling
3,3.735865248089399,ThompsonSampling
3,3.7025667475349224,ThompsonSampling
3,2.3910293967116933,ThompsonSampling
3,4.501298065127224,ThompsonSampling
3,5.352765714915298,ThompsonSampling
3,4.6127824536134305,ThompsonSampling
3,3.6044652921788845,ThompsonSampling
3,4.496074070158352,ThompsonSampling
2,2.229747342577843,ThompsonSampling
3,4.901647959752955,ThompsonSampling
2,4.822351513048913,ThompsonSampling
1,2.8453798642783075,ThompsonSampling
3,2.8218701264646615,ThompsonSampling
2,2.856537362289014,ThompsonSampling
2,3.513275731367933,ThompsonSampling
3,3.828517364657162,ThompsonSampling
3,5.8091486973726365,ThompsonSampling
3,4.010021228216161,ThompsonSampling
3,4.569583273254784,ThompsonSampling
3,6.563279837901946,ThompsonSampling
2,3.419451468776714,ThompsonSampling
3,1.5757465104922854,ThompsonSampling
3,2.8367039968063046,ThompsonSampling
3,5.279434307431016,ThompsonSampling
2,2.9666300422942724,ThompsonSampling
3,3.5256176530082746,ThompsonSampling
2,4.0506055701846035,ThompsonSampling
3,2.8705709662740246,ThompsonSampling
2,2.3027017631147064,ThompsonSampling
3,4.02363728930591,ThompsonSampling
2,2.560580049189904,ThompsonSampling
3,5.023636617193919,ThompsonSampling
3,4.188744319558435,ThompsonSampling
2,2.2019653809570614,ThompsonSampling
3,4.090555962594627,ThompsonSampling
2,3.283591449533605,ThompsonSampling
2,3.757245642933281,ThompsonSampling
2,2.8308251393840593,ThompsonSampling
3,4.280154961880021,ThompsonSampling
3,4.286147891056245,ThompsonSampling
3,4.256682842365404,ThompsonSampling
3,3.201635442410411,ThompsonSampling
2,0.7029992081016818,ThompsonSampling
2,3.147804970921289,ThompsonSampling
3,2.588618253484404,ThompsonSampling
3,3.1096677676878266,ThompsonSampling
3,4.223266278300603,ThompsonSampling
3,5.088138796705478,ThompsonSampling
3,5.295606489593442,ThompsonSampling
3,6.453802630660044,ThompsonSampling
3,2.8352867138492934,ThompsonSampling
2,3.591195868817011,ThompsonSampling
2,3.1370685207494766,ThompsonSampling
3,3.2735465864423055,ThompsonSampling
